序号,来源形式,父级标题/问题,原帖/回答URL,言论发布者,作者UID/Token,作者主页,发布时间,点赞数,风险级别,负面分类,核心实锤摘要/引证,完整言论原文,AI人工审核结论,审核判定理由,精准分类
9,评论区(主评),"当亿万企业家走进
清一武道馆
（1）",https://zhuanlan.zhihu.com/p/354387957,英俊叔,ying-jun-shu-80,https://www.zhihu.com/people/ying-jun-shu-80,2021-03-04 19:30:19,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,清一武道馆 （1）】的评论 骗子李清一又来忽悠了 | （1）】的评论 骗子李清一又来忽悠了,骗子李清一又来忽悠了,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 清一武道馆 （1）】的评论 骗子李清一又来忽悠了 | （1）】的评论 骗子,骗子/洗脑/割韭菜控诉
10,评论区(楼中楼),"当亿万企业家走进
清一武道馆
（1）",https://zhuanlan.zhihu.com/p/354387957,不见子都,peng-bao-sheng-a,https://www.zhihu.com/people/peng-bao-sheng-a,2021-03-05 00:25:05,0,HIGH,假武术/无实战能力/花架子、骗子/圈钱/洗脑/割韭菜/套路,合物了，难怪那么多武术练习者一上擂台都是些软脚虾，还营养健康学呢[ | 的评论 看了这文章，感觉跟传销洗脑差不多，最无语的就是加大运动量 | ）】的评论 看了这文章，感觉跟传销洗脑差不多，最无语的就是加大运,看了这文章，感觉跟传销洗脑差不多，最无语的就是加大运动量然后又吃素食，还就一个清蒸素菜，主食为主，运动完本就应该多补充蛋白质，他这光补充碳水化合物了，难怪那么多武术练习者一上擂台都是些软脚虾，还营养健康学呢[捂脸]估计初中生物课都没及格,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
19,专栏文章,"清一新教育
｜每位清一公主的内心深处都存在着两个“父亲”",https://zhuanlan.zhihu.com/p/2074853535364260037,守望者,zhivh8zilf,https://www.zhihu.com/people/zhivh8zilf,,19,HIGH,假武术/无实战能力/花架子、骗子/圈钱/洗脑/割韭菜/套路,缘亲情被不断弱化、消解。教主被神化为精神上的至高父亲，接管孩子的 | 孩子成长的亲人。但在这套话术的洗脑之下，血缘亲情被不断弱化、消解,"在清一新教育的话语体系里，被称作“公主”的女孩从小被圈养在外，不断灌输扭曲认知，她们会慢慢发现自己其实拥有两位父亲：
一位是血缘伦理上的生父，另一位则是作为精神之父的教主
。这从前天晚上爆出的那位“公主”的发文中不难看出，继血缘父亲的诉求之后，她还需要继续迎合那位精神之父的诉求。
血缘父亲给予生命，本应是亲情陪伴、守护孩子成长的亲人。但在这套话术的洗脑之下，血缘亲情被不断弱化、消解。教主被神化为精神上的至高父亲，接管孩子的思想判断，成为精神世界的绝对权威。
长此以往，孩子对原生家庭的依恋被剥离，思想依附于外部权威。血缘亲情被精神崇拜所替代，这是一种精神层面的异化。孩子慢慢丧失独立思考能力，把人生价值、是非判断全部交托给他人。
这种人为制造的精神父子关系，割裂正常家庭伦理，本质是精神控制的手段，对未成年人的人格成长造成深重伤害。",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
20,专栏文章,"清一新教育
｜这个非法组织的最大软肋就是张某本人",https://zhuanlan.zhihu.com/p/2071680588105490846,守望者,zhivh8zilf,https://www.zhihu.com/people/zhivh8zilf,,24,HIGH,骗子/圈钱/洗脑/割韭菜/套路、新教育争议/误人子弟/毁孩子/伪国学,背后的违规办学、灰色收益、精神洗脑等真相将彻底曝光。 清一新教育 | 育多年的灰色运营，其所有伪装、套路与壁垒，看似体系庞大、层层闭环 | 育法规、精神管控未成年人、高额敛财、扭曲价值观等诸多问题，每一项,"纵观清一新教育多年的灰色运营，其所有伪装、套路与壁垒，看似体系庞大、层层闭环，实则唯一且最大的软肋，就是创始人张某本人。这个违规教育组织能长期隐秘存活、持续收割家庭、误导未成年人，根源不在于所谓独特的教育体系，而在于张某始终躲在幕后操控、从不直面公众与监管。
多年来，张某极力打造“教育导师”“智者大师”“投资大师”“传武实战第一人”的人设，靠网络文案、学员口碑包装造势，通过层层代理与核心弟子对外发声、承接招生、打理事务。他常年隐于隐秘办学点，辗转多地规避核查，刻意隔绝在阳光监督之外，从不公开露面回应质疑、接受核查、直面舆论拷问。
他深谙自身所有模式经不起推敲：无证办学、违背义务教育法规、精神管控未成年人、高额敛财、扭曲价值观等诸多问题，每一项都触碰法律与教育红线。一旦本人公开站在阳光下，所有虚假人设会瞬间崩塌，背后的违规办学、灰色收益、精神洗脑等真相将彻底曝光。
清一新教育的嚣张，全靠张某的“隐身术”支撑。只要揪出躲在幕后的张某，破除他的隐秘保护壳，这个毒害未成年人、欺骗家长的灰色教育骗局便会不攻自破。它所有的声势都是虚的，核心命脉完全系于张某一人，他不敢见光，便是其最致命的死穴。",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
22,评论区(楼中楼),"用亲身经历告诉你
清一新教育
怎么样？",https://zhuanlan.zhihu.com/p/683774073,行云流水,97-69-19-5,https://www.zhihu.com/people/97-69-19-5,2026-04-25 03:56:03,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,规则了解的越多，就必然远离清一邪教，凡是为孩子选择清一路线的家长,这个和有钱没钱关系不大，是认知问题，常识和规则了解的越多，就必然远离清一邪教，凡是为孩子选择清一路线的家长，妄心太大，知识结构严重失衡，导致判断力严重错位。,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 清一邪教,骗子/洗脑/割韭菜控诉
23,评论区(主评),"用亲身经历告诉你
清一新教育
怎么样？",https://zhuanlan.zhihu.com/p/683774073,chedaka,zhou-jian-fu,https://www.zhihu.com/people/zhou-jian-fu,2025-06-13 15:42:48,0,MEDIUM,骗子/圈钱/洗脑/割韭菜/套路,用当下流行的说法其是明显的私域割韭菜啊。,您这属实被坑的有点惨，我算是07-08年接触过一段世界，那是他还叫张健柏，也主要听他讲道德经，偶尔练练拳。后来和这个群里还保留着若有若无的接触。不过，当张健柏爆发“口信事件”，我就基本上把其拉黑了。用当下流行的说法其是明显的私域割韭菜啊。,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
24,专栏文章,"怎么看“
清一新教育
”和最近翻车的“如是书院”？一张画皮，两套马甲，同一套收割逻辑",https://zhuanlan.zhihu.com/p/2069089792630040557,箴茅,50-36-55-23-76,https://www.zhihu.com/people/50-36-55-23-76,,31,HIGH,骗子/圈钱/洗脑/割韭菜/套路,度堪比街头卖完大力丸就跑的江湖骗子。 “这哪是教育？这是把你的孩 | 其实很简单：前者是“高端出海版传销”，后者是“本土封闭版传销”。 | 海版传销”，后者是“本土封闭版传销”。 老板分别是张清一（张健柏,"答主：在教育圈踩过坑的人
谢邀，懒得展开，直接说透。
很多人分不清“清一新教育”和“如是书院”，其实很简单：前者是“高端出海版传销”，后者是“本土封闭版传销”。 老板分别是张清一（张健柏）和如平（赖泽明），两人没血缘关系，但收割逻辑一模一样：用“脱离体制”当诱饵，用“国学/精英”当滤镜，拿家长的焦虑当现金流。
先看清一系。张口闭口“颠覆K12”，其实就是让孩子去考美国的GED（高中同等学历考试）。这玩意儿原本是给没读完高中的成年人补证的，到了张大师嘴里就成了“碾压中美高考的神迹”。更别说那“百万共建费”，两百个孩子就是两个亿现金池。这钱买的是什么？是让家长自我感动的“爱国精英”人设，是切断孩子学籍后的“断尾求生”，以及一张大概率指向东南亚某特区、随时可能被当地执法部门清场的“单程票”。
再看最近翻车的“如是书院”。老板如平是个老熟人，2001年就因非法经营（传销）蹲过两年。出狱后换了个“国学导师”的马甲，专收厌学、抑郁的孩子。手法很糙但有效：收手机、收身份证、戒尺打手、关小黑屋“调整”。新昌县联合调查组已经进驻，但最讽刺的是，这种把“体罚”包装成“爱的棒喝”的作坊，居然能年收十几万学费，还被家长当成“救命稻草”。
两者的核心都在“控制”。张清一用“GED神话”忽悠高净值人群，如平用“戒尺管教”吓唬绝望家长。但剥开画皮，底色全是BITE模型：行为控制（退学、搬砖）、信息控制（屏蔽外界）、思维控制（独创话术）、情绪控制（制造愧疚）。
最恶心的是对生命的漠视。网上传九岁女童因零食被“调整”致死，虽未见官方通报，但光“十一岁男孩大太阳下搬砖打磨燥气”、“十六七岁‘2.0老师’上岗执教”这些实锤，已经足够触目惊心。张清一在关善祥事件后光速切割，冷血程度堪比街头卖完大力丸就跑的江湖骗子。
“这哪是教育？这是把你的孩子放进一个没有出口的玻璃罐，外面贴着‘精英培养皿’，里面灌满了导师的贪婪和家长的无知。”
真正的教育，从不要求你下跪，也不收百万“臣服费”。凡是让你退学籍、断联系、无条件服从某个“大师”的，全是骗局。如今如是书院被查，张清一在磨丁风雨飘摇，这不仅仅是两家机构的倒掉，更是对所有“教育传销”的一次预警：别拿孩子当小白鼠，否则反噬的，终将是你自己的晚年。",🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 张清一在关善祥事件后光速切割，冷血程度堪比街头卖完大力丸就跑的江湖骗子,骗子/洗脑/割韭菜控诉
25,评论区(主评),"怎么看“
清一新教育
”和最近翻车的“如是书院”？一张画皮，两套马甲，同一套收割逻辑",https://zhuanlan.zhihu.com/p/2069089792630040557,守望者,zhivh8zilf,https://www.zhihu.com/people/zhivh8zilf,2026-08-07 16:03:09,0,MEDIUM,骗子/圈钱/洗脑/割韭菜/套路,割逻辑】的评论 一模一样的收割套路，清一的社会负面影响远远大于如,一模一样的收割套路，清一的社会负面影响远远大于如是书院,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
28,回答正文,,https://www.zhihu.com/answer/2069878132786701468,德鲁伊,deluyi-6-91-4,https://www.zhihu.com/people/deluyi-6-91-4,,11,HIGH,骗子/圈钱/洗脑/割韭菜/套路、新教育争议/误人子弟/毁孩子/伪国学,老挝，继续干起来非法办学和玄学诈骗的勾当！ | 现在跑到了境外老挝，继续干起来非法办学和玄学诈骗的勾当！,知乎上这个叫“清一新教育”的，二十年了被官方不断取缔，现在跑到了境外老挝，继续干起来非法办学和玄学诈骗的勾当！,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 清一新教育”的，二十年了被官方不断取缔，现在跑到了境外老挝，继续干起来非法办学和玄学诈骗,骗子/洗脑/割韭菜控诉
30,评论区(主评),"“
清一新教育
”的非法性是清醒们持续发声并通过法律途径维护权益的底气",https://zhuanlan.zhihu.com/p/2072252810008211619,行云流水,97-69-19-5,https://www.zhihu.com/people/97-69-19-5,2026-08-19 10:04:36,0,HIGH,骗子/圈钱/洗脑/割韭菜/套路,权益的底气】的评论 用法律制裁邪教教育，法办张健柏,用法律制裁邪教教育，法办张健柏,🔴 确凿真实黑帖/负面攻击,明确针对清一/新教育发表负面攻击或投诉: 命中清一负面关联,骗子/洗脑/割韭菜控诉
