用户昵称,url_token,主页链接,累计真实攻击言论数,是否多帖持续恶意黑号,涉及核心指控维度,核心攻击言论原句记录
楠楠,jian-dan-xiao-yu-21,https://www.zhihu.com/people/jian-dan-xiao-yu-21,26,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉、新教育误人子弟/毁孩子控诉,"[评论区(楼中楼)] 肯定不同啊 
公立学校招聘也有门槛 
有教育局各部门来出力
难道这些人都是不干活的吗
私立学校 国际学校里面发花钱招的都是傻子吗
还有国家拨款
别的不说
张清一 || [评论区(楼中楼)] 然后呢 捡钱而已 教育就是教育人捡钱么 
投资就是比实业更高贵么 || [评论区(楼中楼)] 然后张清一养道了么？
满口不负责任的话
但是撇清责任的时候干干净净
也就是说 他会诱导你 蛊惑你 利用你的信任
但是会加一句 你自己负责 
🤷‍♀️
手上可是干 || [评论区(楼中楼)] 所以不好就是没吸收 反正你总是有理的 || [评论区(楼中楼)] 鸦片还止痛呢"
香雪莲,chu-xue-hou-sheng,https://www.zhihu.com/people/chu-xue-hou-sheng,6,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(主评)] 您可能还沉浸在自我陶醉之中，我朋友孩子也在里面学习，其实除了他说的体能和英语外，基本没啥可吹嘘的。说句实话我孩子也一直学英语，他引以为自豪的英语根本就好不了我孩 || [评论区(主评)] 最可悲的就是自己被骗子卖了了，还帮助骗子数钱。 || [评论区(楼中楼)] 也许，他们自己都还蒙在鼓里，他们的初心并不是帮骗子骗人，而是被洗脑后的自发行为，就像邪教全能神信徒。只要还在他们还沉浸在那个抱团取暖，相互麻醉的氛围里，在清一山 || [评论区(楼中楼)] 我同事的小孩就是这个学校的，体能好像有提升，但是综合能力一塌糊涂，并不是清一吹嘘的那样，一个品学兼优的孩子就这么废了。所谓经得起检验，那可能是你我的标准不同，也 || [评论区(楼中楼)] 那是，我看见同事的孩子都是如此心情，更别说是自己家的孩子了。同事两口子都是非常好的人，如今家庭面临崩溃，其中最大的原因就是这个孩子错入清一的教育骗局。从当初的信
守望者,zhivh8zilf,https://www.zhihu.com/people/zhivh8zilf,4,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,"[专栏文章] 在清一新教育的话语体系里，被称作“公主”的女孩从小被圈养在外，不断灌输扭曲认知，她们会慢慢发现自己其实拥有两位父亲：
一位是血缘伦理上的生父，另一位则是作为精神 || [专栏文章] 纵观清一新教育多年的灰色运营，其所有伪装、套路与壁垒，看似体系庞大、层层闭环，实则唯一且最大的软肋，就是创始人张某本人。这个违规教育组织能长期隐秘存活、持续收割 || [评论区(主评)] 一模一样的收割套路，清一的社会负面影响远远大于如是书院 || [专栏文章] 对这个毫无廉耻的组织，口舌争辩难以撼动这套封闭洗脑体系，和它长久博弈，依靠的从来不是空谈道理，而是严明的法律准绳。
该组织借教育外衣非法办学、精神操控、大肆敛财"
箴茅,50-36-55-23-76,https://www.zhihu.com/people/50-36-55-23-76,3,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉、假武术/无实战能力质疑,"[专栏文章] 答主：在教育圈踩过坑的人
谢邀，懒得展开，直接说透。
很多人分不清“清一新教育”和“如是书院”，其实很简单：前者是“高端出海版传销”，后者是“本土封闭版传销”。 || [专栏文章] 在知乎搜""张清一""，画风很迷：一边是家长跪谢""教育界的袁隆平""，一边是脱粉帖细数今日学堂怎么把娃教到自考兜底。 把山长博客和知乎转帖摊开一看，这位武大哲学硕士、 || [回答正文] 答主：在教育圈踩过坑的人
谢邀，懒得展开，直接说透。
很多人分不清“清一新教育”和“如是书院”，其实很简单：前者是“高端出海版传销”，后者是“本土封闭版传销”。"
雨花台,zhou-dong-55-62,https://www.zhihu.com/people/zhou-dong-55-62,3,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 不是那些参加财富课的人都说赚嗨了吗？ || [评论区(楼中楼)] 原来你也认识她 || [评论区(楼中楼)] 他们永远是对的~~哈哈哈
没事儿闲逛逛,qie-ting-feng-yin-31-40-36,https://www.zhihu.com/people/qie-ting-feng-yin-31-40-36,3,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,"[评论区(楼中楼)] 弟子们众星捧月，我身边有个沉迷于此不能自拔，十头牛都拉不回来，走不一样的路，有着自己的说辞。
主打的放下所有，降低欲望。
但是命好，没办法啊。 || [评论区(楼中楼)] 你没看人家这个14岁就比清华的牛逼，[语塞][飙泪笑] || [评论区(楼中楼)] 正文“机缘巧合下”很奇怪啊！天下哪有这么多缘，即使有那也是“元”"
山长 <em>清一</em>,shan-chang-qing-yi,https://www.zhihu.com/people/shan-chang-qing-yi,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[专栏文章] 今日三语冠军二班发布的视频，介绍了闭关3个月学习日语带来的学习效果：有超过10%的学生从零起步，达到了最高级的N1水平。其他大多数学生都达到了N2水平，最差的也 || [专栏文章] 我建议大家好好看看一个国家地理的纪录片 功夫，有三集，第一集最好，开门八极，看到一家人，三代都在认真守护着他们的传统武术，令人尊重。我们其实也在思考这个问题--
行云流水,97-69-19-5,https://www.zhihu.com/people/97-69-19-5,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 这个和有钱没钱关系不大，是认知问题，常识和规则了解的越多，就必然远离清一邪教，凡是为孩子选择清一路线的家长，妄心太大，知识结构严重失衡，导致判断力严重错位。 || [评论区(主评)] 用法律制裁邪教教育，法办张健柏
FAFN,fafa-54-68-60,https://www.zhihu.com/people/fafa-54-68-60,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,"[评论区(楼中楼)] 脏山长说啥，需要服务于他的目的：想挑拨清粉，就林妹妹上身委屈状，胁迫“捆绑”清粉写“买家秀”小文章时，就说前一句“投入教育不为赚钱”！
忽悠善良的清粉做炮灰时， || [评论区(主评)] 如夫妻之间对于送孩子入读清一教育的非法学校这件事情上出现意见不统一，一方不同意另一方把“夫妻共同财产”作为学费交给伪清一新教育“基金会”这种让教主赚不到便宜的事"
AndyEnder,andyender,https://www.zhihu.com/people/andyender,2,⚠️ 是 (核心攻击者),骗子/洗脑/割韭菜控诉,[评论区(楼中楼)] 所有教育形式都有抑郁的[尴尬] || [评论区(楼中楼)] 饭都不会做，还当啥人呐[白眼]。如果想让人提高生产效率，你应该让他去学技术
