用户昵称,url_token,主页链接,一句话介绍,粉丝数,知乎总回答数,知乎总文章数,累计命中负面言论数,是否多帖持续攻击,全网历史攻击言论摘要
蔡凯琪,qu-qi-51-61,https://www.zhihu.com/people/qu-qi-51-61,战狼今日塾教师,646,4,13,5,⚠️ 是 (频繁攻击),[article] 讲台与擂台：最好的教育，是我亲自上场: 折。 这一次赵校长，和我一起走上擂台 二、身体的淬炼｜拉胯的体能和 | 静下心来思索，我也没找到必须站上擂台的理由。 我的本职是一名教师， | 是一个冷静的人。 所以，我想站上擂台，直面我内心的胆怯、焦虑与慌乱 || [article] 清一新教育 刘晓慧传武夺金！清一武道馆的另一面 成长记录【3】: 甘、委屈、抱怨的情绪所控，做出害人害己的事情。 所以，我一定要很 || [article] 清一新教育 公主夏令营观摩记录 教学记录【3】: 多欲求不满的人践踏，被那些真正误人子弟的人抹黑！ 在清黑交战的日子里 || [article] 我怎样才能成为第二个黄小燕: ，是不是一个浪荡、愚蠢、贪婪的诈骗犯。 不需要你同意。 法院、政 || [pin] 想法_1935756894774986714: 蛋，你毁人慧命！我今天发现你是骗子，原来你就是这么骗你身边的人的
山长 清一,shan-chang-qing-yi,https://www.zhihu.com/people/shan-chang-qing-yi,文人格斗 传武实战第一人 清一大学创办人,44646,276,614,57,⚠️ 是 (频繁攻击),[answer] 男子省吃俭用 20 年攒下 789 万，6 天被骗子全部转空，带来哪些警示？: 年攒下 789 万，6 天被骗子全部转空，带来哪些警示？ 其实 || [answer] 太极拳是练陈氏好？还是杨氏好？: 单的呀？ 如果你想学的是体操，套路。你喜欢什么就学什么吧！ 如果 | 了！ 因为现在这些太极都变体操套路了。不是啥传武，就是体操！ 古 | 招。等你练出来之后，自己会创编套路的。根本不用去学啥套路！ 一招 || [answer] 古天乐坚持十年每天只吃一顿饭，这种饮食习惯是否健康？: 多格斗拳手都所谓的现代营养学给忽悠了，大量吃肉，吃海鲜（白肉）等 || [answer] 已知传统武术实战不如现代搏击，但相对来说哪一种传武更厉害点?: 体育部门才会这样玩，所谓的武术套路比赛！ 古代是拿命来为你的技术 || [answer] 杨家三十二目中的《八五十三势长拳解》明明说“万不得有一定之架子”，为什么现在都在练套路？: 以为某个动作招式就是太极，就是骗人的！ 太极云手不是某一个具体的 | 一定之架子”，为什么现在都在练套路？ 太极无招。 真正的古传太极 | 社会的主流？ 这不奇怪：因为教套路可以赚钱。看得见变化。数得出招
明晓-文人格斗,ming-xiao-99-62,https://www.zhihu.com/people/ming-xiao-99-62,泰拳世界冠军 | 藤校26fall,2151,1,89,7,⚠️ 是 (频繁攻击),[article] 当别人卷学业时，我用“非标路径”考上了美本Top20: 在讲自己多么多么厉害。  一是吹牛会让人反感和抵触，二是罗列成就 | 么样的人”的机会。 很多中介会忽悠说课外活动多么多么重要，然后让 || [article] 从清一武道馆到世运会冠军：我最感恩的那位贵人: 外宣传的诺言，证明了师父并没有吹牛。本来上次世锦赛我非常期待能够 || [article] 《白虎》电影课总结: 层人缺的就是钱。这也是影片希望误导人的地方，也是大多数穷人相信的 || [article] 2025年3月25日 日记: 方。2）没有去考虑对方的后手能不能打到我，有时会为了防住前手而把身 | 了好的能量。如果你因为怕而不敢上擂台，或者因为怕受伤而不敢练了，这 || [article] 2025年2月21日 日记: 毒药在哪里？饺子是在哪里“战略忽悠”我们观众的？ 我其实几年前就 | 但同时我们要注意哪些地方不要被毒害： 1、哪吒 哪吒几乎是所有男
易轩,liu-yuan-68-60-72-33,https://www.zhihu.com/people/liu-yuan-68-60-72-33,同之又同，众妙之门,1769,74,496,20,⚠️ 是 (频繁攻击),[answer] 你读过哪些令你有跪感的书？: 恨。在他看来，没结婚的女人都是骗子，所以自己完全有权利去骗她们— || [answer] 中国式父母对孩子最残忍的伤害是什么？: 8日 山长咨询案例解析2:警惕毁掉孩子的七大绝招！ 四、真正的爱：让 || [answer] 什么样的人会拥有大财富？: 25.7.16日 思考黄小鸟的洗脑：如何才能拥有自己真正的创造性 | 会把这些钱丢入水里，成为被商家忽悠消费的笨蛋！他用手机非常省，上 || [answer] 人在迷茫时该干什么？: 国内的人都不了解这个，说马云是骗子。这一路上经历了很多坎坷，但马 || [answer] 人生应该活成什么样子，该以什么样的方式活着？: 其不完美的一面。习惯性的甩锅和嘴炮，去攻击、污蔑，却从来不反省自
卡尔不能忍,qia-er-bu-neng-ren,https://www.zhihu.com/people/qia-er-bu-neng-ren,人类灵魂的观察者,480,2870,8,10,⚠️ 是 (频繁攻击),[answer] 中国的小偷为什么断崖式地下降？: 下降？ 转行了。 你猜为啥现在骗子这么多。。。 || [answer] 中国的小偷为什么断崖式地下降？: 下降？ 转行了。 你猜为啥现在骗子这么多。。。 || [answer] 网友称豆包误导老人断指泡生理盐水致终生残疾，这种情况下豆包要担责吗？手指受伤正确处理方法应该是怎样？: 网友称豆包误导老人断指泡生理盐水致终生残疾， || [answer] 俞岱岩终身残废，是都大锦的错吗？: 不住 有错只是小错而已 这就是邪教和正派的区别 前者只要不开心随 || [answer] 什么是西格玛男人？: 什么是西格玛男人？ 一群屌丝的自嗨而已，因为没有能力吸引女人，就
英俊叔,ying-jun-shu-80,https://www.zhihu.com/people/ying-jun-shu-80,华尔街电影,64,41,0,5,⚠️ 是 (频繁攻击),[answer] 如何看待网文作者“狗娃子天一”因编写销售淫秽书籍被法院判处有期徒刑十年半？: 是制定者为规则有效施实而进行的洗脑。做为被制定者，你可以服从他（ || [answer] 如何用法律保护自己的权益？: ，起诉。 但如果这人真如你说是骗子的话，估计起诉了也不一定执行到 || [answer] 加拿大魁北克投资移民的要求有哪些啊，适合哪类人群呢？: 呢？ 上面的人全都是托或者说是骗子。 1、魁省至少要花22万投资 | 右，别听中介宣传的两三年，都是骗人的，有四五年过的，也有七八年过 || [answer] 法律人如何看待「在庭审中有保留辩论，观点留在代理词中论证」的诉讼技巧？: 小技巧。 绝大多数案子按正常按套路走，少别出心裁。 实在机会渺茫 || [answer] 如何有效聘请好律师？: 没有定量就谈定性容易造成一定的误导。 找律师基本要考虑三样：收费
不见子都,peng-bao-sheng-a,https://www.zhihu.com/people/peng-bao-sheng-a,,94,64,0,10,⚠️ 是 (频繁攻击),[answer] 为什么跆拳道要学各种品势？: 要学各种品势？ 跆拳道品势就是套路，跟中国的武术套路、空手道的“ | 拳道品势就是套路，跟中国的武术套路、空手道的“型”本质上是一样的 | “型”本质上是一样的。 我认为套路的意义在于，将本派的所有技术动 || [answer] 大家帮我看看我是不是遇到黑心跆拳道道馆了?: 其实都无所谓，只要不是收费很高骗钱。当然如果想从事这方面工作的话 || [answer] 文人是不是都不擅长体育运动？为什么大家对文人普通印象是体弱？: 个学校还在玩跆拳道特技、打武术套路的时候，剑道社、巴西柔术社这种 || [answer] 现在我应该学习什么种类的格斗技了？: 会下降，又不是武侠小说的世界，神功大成就可以当一辈子高手了。 || [answer] 大学选修跆拳道课，老师说考试上85分能申请6级8级证书，国家级的，要交钱，这个证有啥用吗？感觉像骗钱？: 要交钱，这个证有啥用吗？感觉像骗钱？ 不用怀疑，骗不骗钱性质都差 | ？感觉像骗钱？ 不用怀疑，骗不骗钱性质都差不多 首先大学体育选修
长沙实之兄,wx0197fe7aa3866d9c,https://www.zhihu.com/people/wx0197fe7aa3866d9c,修齐治平,631,83,86,37,⚠️ 是 (频繁攻击),[answer] 中国传统武术是花拳绣腿，还是神功绝技？: 中国传统武术是花拳绣腿，还是神功绝技？ 真传武几近失 | 中国传统武术是花拳绣腿，还是神功绝技？ 真传武几近失传矣！ || [article] 倪海厦倪师讲：血痣是怎么回事？: 所谓的过敏或者无关紧要的诊断所误导，看清真相，采取行动。你的身体 || [article] 清一新教育|如何塑造一份完美履历？普通人逆袭哈佛耶鲁的道路！: 生。都是只学了三年左右，就可以上擂台打实战比赛了，已经有多人获得了 | 战格斗技巧和知识！我相信将来走上擂台后，这些武道心法的体验学习，会 | 学习武术两年之后，人生第一次走上擂台，与泰国的职业拳手进行了一场真 || [article] 清一新教育|幸福秘诀就是不贪吃，并远离贪吃的人！: 只吃稀饭馒头就行了！偶尔小小的毒害一下自己，吃一点点垃圾食品。但 | 品。但绝对不会像你们一样，天天毒害自己！下手还特别的狠！ || [article] [转载]家父81岁大面积脑梗百日康复实录: 那些什么都不问，仅靠把脉就瞎蒙忽悠的，不是什么高手。6.看传承不
梁庆文,24-26-81-91,https://www.zhihu.com/people/24-26-81-91,明心学堂老师，华中科技硕士在华为干过，美国混过，青年发明家…,87,0,7,0,否,
任惠一,qin-xi-xi-29-92,https://www.zhihu.com/people/qin-xi-xi-29-92,教育探索者,116,93,0,0,否,
Ella清一公主NO.1,ella-58-3-14,https://www.zhihu.com/people/ella-58-3-14,第一个在泰拳世界锦标赛上为中国升起国旗的女子,3571,7,164,22,⚠️ 是 (频繁攻击),[answer] 接受张清一先生免费供养的学生们，你拿什么来回馈恩人？请在此处留贴，说说你收获的喜悦和成长？: 第一战，满脸的不可置信，我竟然上擂台了，还把对手KO了！ 心性上— | 压力的，真话总是不如利益集团，骗子会给人好感觉，会哄人的） 我看 || [article] 传武公主的荣誉心VS传武混混的江湖气: 对徐某做出任何像样的回应，传武不能打的名声反而越来越大。山长为了捍 | 尊重！ 对我来说：练了传武，走上擂台去击败世界冠军，是 我想要为国 | 就击败我们这些冠军的山长，真的打不过S某吗？因为我看S某也就一其貌 || [article] 人生打卡文案（更新至2026年8月）: 得到机会），进行了2个月的武术套路和基本功训练，在厦门参加国际武 || [article] 3个月的闭关，会带来怎样的变化？——冠军一班澄心营收官纪: 书，我就感到有点崩溃” “因为不能打电话，我会有点想妈妈和妹妹了. || [article] 11.27 马上就要比赛啦！: 诲，我会带着喜悦和突破的心态走上擂台，在比赛中体验爱，创造，还有m
